sample_id,SampleCode,city,state,sample_date,Year,MonthNum,Month,CP,DOM,DOMCP,Longitude,Latitude,MAP,MAT,C3G,Forb,Leg,C4G,Woody
140525,BisonS018849,Choteau,MT,4/9/19,1,4,Apr,56.7,597.3,10.53,-112.18,47.81,280.1799927,6.809999943,0.509118874,0.279718743,0.074928587,0,0.136233795
140526,BisonS018991,Choteau,MT,5/5/19,1,5,May,63,617.7,9.8,-112.18,47.81,280.1799927,6.809999943,0.480624233,0.134724414,0.325793442,0.058857911,0
140527,BisonS018982,Choteau,MT,6/5/19,1,6,Jun,86,611.9,7.12,-112.18,47.81,280.1799927,6.809999943,0.738165741,0.152020687,0.05813905,0,0.051674521
140528,Bison140528,Choteau,MT,7/2/19,1,7,Jul,80.2,592.5,7.39,-112.18,47.81,280.1799927,6.809999943,0.674598784,0.05334809,0.049252906,0.01306032,0.2097399
140529,BisonS018833,Choteau,MT,8/8/19,1,8,Aug,97.6,605.6,6.2,-112.18,47.81,280.1799927,6.809999943,0.142818233,0.005345044,0.851836722,0,0
140530,BisonS018953,Choteau,MT,9/5/19,1,9,Sep,73.4,588.8,8.02,-112.18,47.81,280.1799927,6.809999943,0.15920398,0.001554728,0.838567577,0,0.000673715
,S016560,NA,NA,6/22/18,0,6,Jun,92.9,618.1,6.7,-114.85,47.46,448.74,7.9,0.626107276,0.329146863,0.010785384,0.009181394,0.024779083
,S016545,Gillette,WY,6/21/18,0,6,Jun,82.2,621.9,7.6,-105.47,43.81,318.98,7.4,0.753361599,0.161599031,0.063113264,0.012235009,0.009691096
141223,BisonS018740,Gillette,WY,4/8/19,1,4,Apr,54.5,601.6,11.04,-105.5,44.29,379.1600037,7.389999867,0.452415896,0.265042899,0.070529465,0.21201174,0
141226,BisonS018796,Gillette,WY,5/8/19,1,5,May,81,641,7.91,-105.5,44.29,379.1600037,7.389999867,0.535630234,0.326517226,0.13785254,0,0
141228,Bison141228,Gillette,WY,6/6/19,1,6,Jun,111.6,652.5,5.85,-105.5,44.29,379.1600037,7.389999867,0.885615536,0.033355278,0.081029186,0,0
141229,BisonS018852,Gillette,WY,7/8/19,1,7,Jul,69.2,592.3,8.56,-105.5,44.29,379.1600037,7.389999867,0.668154092,0.239734719,0.042002702,0.050108487,0
141230,BisonS018799,Gillette,WY,8/8/19,1,8,Aug,53,588.4,11.1,-105.5,44.29,379.1600037,7.389999867,0.580113726,0.244991231,0.045703354,0.127437955,0.001753734
141231,BisonS018947,Gillette,WY,9/8/19,1,9,Sep,51.9,589.9,11.37,-105.5,44.29,379.1600037,7.389999867,0.335367448,0.021837678,0.371371283,0.271423591,0
,S016586,Brookings,SD,6/21/18,0,6,Jun,81.9,595.9,7.3,-96.78,44.29,632.1,6.5,0.068199762,0.051730112,0.682364227,0.197485942,0.000219957
,S018011,Brookings,SD,10/2/18,0,10,Oct,92.4,595.8,6.45,-96.78,44.29,632.1,6.5,0.432806479,0.029153484,0.433368475,0.064348414,0.040323148
,S016580,Noel,MO,6/20/18,0,6,Jun,122.3,637.8,5.2,-94.34,36.51,1172.75,14.2,0.139885482,0.695498801,0.02210748,0.081500829,0.061007409
,S018006,Noel,MO,9/26/18,0,9,Sep,103.7,557.6,5.4,-94.34,36.51,1172.75,14.2,0.003943137,0.253917196,0.007367369,0.722112756,0.012659542
141255,BisonS018785,Noel,MO,4/8/19,1,4,Apr,89.6,546.7,6.1,-94.49,36.55,1145.689941,14.68999958,0.161100992,0.179012348,0.586217363,0.073669298,0
141256,BisonS018791,Noel,MO,5/5/19,1,5,May,145.1,640.5,4.41,-94.49,36.55,1145.689941,14.68999958,0.04823244,0.917975971,0.010743993,0.020794824,0.002252773
141257,BisonS018802,Noel,MO,6/8/19,1,6,Jun,126.9,625.9,4.93,-94.49,36.55,1145.689941,14.68999958,0.353742085,0.285447924,0.168198768,0.187971555,0.004639667
141258,BisonS018812,Noel,MO,7/7/19,1,7,Jul,117.6,617.7,5.25,-94.49,36.55,1145.689941,14.68999958,0.186884396,0.191809229,0.163815448,0.424053914,0.033437013
141259,BisonS018878,Noel,MO,8/4/19,1,8,Aug,93.6,596.8,6.38,-94.49,36.55,1145.689941,14.68999958,0.099090601,0.073619863,0.325799027,0.49843402,0.003056489
141260,BisonS018715,Noel,MO,9/7/19,1,9,Sep,95.4,601.9,6.31,-94.49,36.55,1145.689941,14.68999958,0.008849557,0.449714663,0.092465471,0.438011744,0.010958565
141008,BisonS018819,Gallatin Gateway,MT,4/8/19,1,4,Apr,52.3,600.8,11.49,-111.2,45.59,445.980011,6.550000191,0.130800961,0.790993471,0.078205567,0,0
141009,BisonS018835,Gallatin Gateway,MT,5/6/19,1,5,May,62,610,9.84,-111.2,45.59,445.980011,6.550000191,0.766371098,0.185747127,0.024367817,0.023513958,0
141010,BisonS018821,Gallatin Gateway,MT,6/3/19,1,6,Jun,108.2,653.3,6.04,-111.2,45.59,445.980011,6.550000191,0.7409518,0.232643119,0.026405081,0,0
141011,BisonS018793,Gallatin Gateway,MT,7/7/19,1,7,Jul,96.3,629.3,6.53,-111.2,45.59,445.980011,6.550000191,0.593199508,0.387546087,0.013382494,0,0.005871911
141012,BisonS018729,Gallatin Gateway,MT,8/5/19,1,8,Aug,68.7,589.8,8.59,-111.2,45.59,445.980011,6.550000191,0.172901082,0.011118038,0.815565253,0,0.000415628
141013,BisonS018939,Gallatin Gateway,MT,9/6/19,1,9,Sep,53,574.3,10.84,-111.2,45.59,445.980011,6.550000191,0.263285947,0.023661864,0.71190726,0.001144929,0
141151,BisonS018859,Sulphur Springs,TX,4/1/19,1,4,Apr,121.1,620.5,5.12,-95.6,33.14,1157.709961,17.79999924,0.074739661,0.524843797,0.068372508,0.058851532,0.273192502
141155,BisonS018870,Sulphur Springs,TX,5/5/19,1,5,May,94.8,637.9,6.73,-95.6,33.14,1157.709961,17.79999924,0.189112119,0.203694102,0.492611797,0.058263124,0.056318859
141157,BisonS018866,Sulphur Springs,TX,6/3/19,1,6,Jun,110.3,600.9,5.45,-95.6,33.14,1157.709961,17.79999924,0.065157459,0.002491782,0.919414699,0.008217579,0.004718481
141160,BisonS018842,Sulphur Springs,TX,6/4/19,1,6,Jun,82.9,586.7,7.08,-95.6,33.14,1157.709961,17.79999924,0.298424209,0.117766002,0.461302467,0.110096222,0.012411101
141161,BisonS018883,Sulphur Springs,TX,8/5/19,1,8,Aug,93.9,593.7,6.32,-95.6,33.14,1157.709961,17.79999924,0.027393769,0.031598395,0.838504172,0.100082818,0.002420846
141162,BisonS018714,Sulphur Springs,TX,9/3/19,1,9,Sep,67.9,563.7,8.3,-95.6,33.14,1157.709961,17.79999924,0.038025735,0.079988477,0.516708277,0.322738622,0.042538889
141014,Bison141014,Pontiac,IL,4/7/19,1,4,Apr,84.2,602,7.15,-88.63,40.88,922.9199829,10.31000042,0.938494225,0.001252996,0.060252778,0,0
141015,BisonS018771,Pontiac,IL,5/3/19,1,5,May,90.1,591.7,6.57,-88.63,40.88,922.9199829,10.31000042,0.949213264,0,0.050786736,0,0
141017,BisonS018831,Pontiac,IL,6/4/19,1,6,Jun,117.6,629.4,5.35,-88.63,40.88,922.9199829,10.31000042,0.946569471,0.007850363,0.042736412,0,0.002843754
141018,Bison141018,Pontiac,IL,7/2/19,1,7,Jul,133.3,628.3,4.71,-88.63,40.88,922.9199829,10.31000042,0.01407735,0.000711491,0.98521116,0,0
141019,BisonS018779,Pontiac,IL,8/2/19,1,8,Aug,121.5,605.3,4.98,-88.63,40.88,922.9199829,10.31000042,0.008559739,0,0.991232866,0.000207395,0
141020,Bison141020,Pontiac,IL,9/2/19,1,9,Sep,102.4,609.7,5.95,-88.63,40.88,922.9199829,10.31000042,0.056756075,0.000756748,0.942487177,0,0
,S016555,Fredericksburg,IA,6/27/18,0,6,Jun,136,614.7,4.5,-92.27,42.94,924.29,8.1,0.327169736,0.122859562,0.479067646,0.007813009,0.063090047
,S018013,Fredericksburg,IA,9/25/18,0,9,Sep,127.4,617.3,4.8,-92.27,42.94,924.29,8.1,0.11795733,0.74298732,0.03092782,0.093502745,0.014624785
141203,BisonS018990,Fredericksburg,IA,4/10/19,1,4,Apr,102.5,577,5.63,-92.2,42.97,922.9199829,8,0.457013085,0.219206231,0.316318805,0,0.007461879
141204,Bison141204,Fredericksburg,IA,5/7/19,1,5,May,157.2,631.4,4.02,-92.2,42.97,922.9199829,8,0.127804441,0.174238197,0.105815382,0.581984597,0.010157384
141205,Bison141205,Fredericksburg,IA,7/8/19,1,7,Jul,140.5,621.1,4.42,-92.2,42.97,922.9199829,8,0.035978156,0.021843881,0.927923224,0.001566014,0.012688725
141206,BisonS018974,Fredericksburg,IA,8/7/19,1,8,Aug,129.3,618,4.78,-92.2,42.97,922.9199829,8,0.337060414,0.193282237,0.203110911,0.13638413,0.130162308
141207,BisonS018998,Fredericksburg,IA,9/6/19,1,9,Sep,167.6,662,3.95,-92.2,42.97,922.9199829,8,0.204638309,0.46875751,0.155251141,0.161139149,0.010213891
,S016573,Augusta,KS,6/20/18,0,6,Jun,89.6,613.7,6.8,-96.97,37.71,954.83,13.8,0.079206214,0.036640783,0.808800688,0.067529479,0.007822836
,S018015,Augusta,KS,9/27/18,0,9,Sep,76,572.5,7.5,-96.97,37.71,954.83,13.8,0.033555819,0,0.228581914,0.734204958,0.003657309
140566,BisonS018755,Augusta,KS,4/8/19,1,4,Apr,65.6,533.2,8.13,-96.98,37.69,956.5100098,13.94999981,0.220671338,0.246722424,0.307414104,0.21863698,0.006555154
140567,BisonS018860,Augusta,KS,5/8/19,1,5,May,114.2,613,5.37,-96.98,37.69,956.5100098,13.94999981,0.43070018,0.155745063,0.251391382,0.162163375,0
140568,BisonS018846,Augusta,KS,6/5/19,1,6,Jun,105.9,608.8,5.75,-96.98,37.69,956.5100098,13.94999981,0.271831172,0.52130193,0.062516542,0.144350356,0
140569,BisonS018892,Augusta,KS,7/6/19,1,7,Jul,71.3,589.9,8.27,-96.98,37.69,956.5100098,13.94999981,0.334492908,0.095218981,0.374007672,0.196280439,0
140570,BisonS018868,Augusta,KS,8/5/19,1,8,Aug,62.6,567.9,9.07,-96.98,37.69,956.5100098,13.94999981,0.147792333,0.11023775,0.320524018,0.4214459,0
